longitude	latitude	speed
-122.763485	45.601865	0.086
-122.763417	45.601628	5.6
-122.76323	45.601313	8
-122.762942	45.600815	10
-122.762692	45.600363	10.6
-122.762488	45.600003	4.801
-122.762158	45.599455	11
-122.761832	45.598895	11
-122.761578	45.598453	10.6
-122.761362	45.598103	8.4
-122.761143	45.597755	8.4
-122.76104	45.597582	4
-122.760922	45.597397	4.4
-122.760743	45.597097	7.2
-122.760592	45.59676	7.8
-122.760653	45.596425	7.4
-122.760687	45.596108	7.4
-122.760402	45.595787	8.2
-122.76006	45.595445	9.2
-122.759717	45.595092	9.4
-122.759393	45.594763	8.8
-122.759168	45.594542	5.8
-122.758968	45.594352	5.2
-122.758715	45.594092	7
-122.758413	45.593782	8.2
-122.758092	45.593455	8.8
-122.757813	45.59317	7.6
-122.757525	45.592875	7.8
-122.757227	45.59257	8.2
-122.756942	45.592283	7.6
-122.756658	45.591987	8
-122.756382	45.591703	7.4
-122.756128	45.591443	7
-122.755897	45.591198	6.4
-122.75566	45.59096	6.4
-122.75543	45.590725	6.4
-122.755227	45.590503	5.8
-122.755038	45.590315	5
-122.754887	45.5902	4.25
-122.754753	45.59014	2
-122.75414	45.589972	1.7
-122.753775	45.589848	6.2
-122.753375	45.589722	6.8
-122.75298	45.589593	6.6
-122.752563	45.589465	7
-122.752165	45.589335	6.8
-122.751765	45.58921	6.8
-122.75141	45.589082	6.2
-122.75116	45.588993	1.167
-122.751112	45.588827	3.6
-122.751263	45.588613	5
-122.751352	45.588495	2.6
-122.751372	45.58847	0.3
-122.751527	45.588252	5.4
-122.751745	45.58794	9.5
-122.75198	45.587605	6.833
-122.75222	45.587255	8.4
-122.752638	45.58663	8.444
-122.752702	45.586533	2
-122.752727	45.586445	2
-122.752435	45.586262	5.167
-122.7519	45.586115	8.8
-122.751423	45.585975	8
-122.751115	45.585873	6.25
-122.751033	45.585852	1.2
-122.749983	45.585562	1.78
-122.749377	45.585388	10.2
-122.748752	45.585155	9
-122.747388	45.584718	11.6
-122.746702	45.584473	14.75
-122.746008	45.584247	9.833
-122.745293	45.584008	12.4
-122.744582	45.583748	15.25
-122.744033	45.58335	10.333
-122.743555	45.582907	15.25
-122.742948	45.582572	11.8
-122.742475	45.582375	8.4
-122.742312	45.582337	2
-122.74204	45.582322	0.647
-122.741557	45.582365	7.6
-122.740997	45.582237	9.4
-122.7404	45.582058	10
-122.739962	45.581813	8.8
-122.739762	45.581512	7.2
-122.73966	45.581368	3.2
-122.73966	45.581368	0
-122.739375	45.581087	1.538
-122.739018	45.58075	7.833
-122.738473	45.580482	12.75
-122.737853	45.580205	9.5
-122.736445	45.579713	12.2
-122.735715	45.579485	12.4
-122.735123	45.579163	11.6
-122.734613	45.578722	12.6
-122.733577	45.57783	4.197
-122.732922	45.577508	12.6
-122.732203	45.577243	15.5
-122.731482	45.576975	10.5
-122.730772	45.576713	12.6
-122.730073	45.576458	15
-122.72941	45.576213	11.6
-122.728807	45.575985	10.4
-122.728417	45.575828	6.6
-122.727732	45.57559	1.378
-122.727125	45.575368	10.6
-122.726453	45.575118	11.8
-122.725743	45.57486	12.4
-122.725037	45.574595	12.4
-122.724403	45.574345	11
-122.7238	45.57413	10.6
-122.7231	45.573895	12
-122.722383	45.573632	12.6
-122.721747	45.573412	10.8
-122.721137	45.573525	9
-122.720592	45.57376	11
-122.719925	45.574027	12.2
-122.7192	45.574302	12.6
-122.718423	45.574542	13.2
-122.717595	45.57471	13.4
-122.716787	45.574852	12.8
-122.715975	45.575002	13
-122.71513	45.575148	13.4
-122.714277	45.575267	13.4
-122.713428	45.575312	13.2
-122.712565	45.575302	13.4
-122.711678	45.575272	13.8
-122.710807	45.57523	13.4
-122.70994	45.575185	13.4
-122.709085	45.57513	13.4
-122.708242	45.57502	13.2
-122.7074	45.574857	13.6
-122.706592	45.574648	13.2
-122.70579	45.574428	4.258
-122.705015	45.574198	13
-122.70423	45.573942	13.4
-122.703485	45.573598	13.8
-122.702812	45.573203	13.4
-122.702182	45.572772	13.6
-122.701652	45.572278	13.6
-122.70119	45.571772	13.2
-122.700777	45.571287	12.4
-122.700477	45.570803	11.4
-122.700282	45.570433	8.4
-122.700148	45.570148	6.6
-122.699977	45.569925	5.4
-122.699578	45.56984	7
-122.698883	45.569833	11
-122.698097	45.569835	11.8
-122.697367	45.569842	11.2
-122.696673	45.569852	10.6
-122.696105	45.56987	8.6
-122.695798	45.569878	4.2
-122.695725	45.569887	0.2
-122.69551	45.569887	3.4
-122.69527	45.569848	3.8
-122.694343	45.569892	2.467
-122.693697	45.569887	10
-122.693003	45.569892	10.8
-122.692293	45.569897	11
-122.691557	45.5699	11.4
-122.690033	45.569903	11.8
-122.68926	45.5699	12
-122.688497	45.569903	11.8
-122.68788	45.569905	9
-122.687625	45.569907	3.4
-122.687617	45.569905	0.033
-122.687398	45.569907	3.8
-122.686048	45.569917	10.7
-122.685278	45.569902	11.8
-122.684498	45.569893	12.2
-122.683707	45.569892	12.2
-122.682937	45.569873	11.8
-122.682288	45.569852	9.8
-122.68186	45.569833	6.2
-122.681432	45.569852	0.618
-122.681045	45.569887	6.2
-122.680592	45.569903	7
-122.680207	45.569903	5.8
-122.679818	45.569887	6.2
-122.679257	45.569882	8.8
-122.67866	45.56988	9.2
-122.67816	45.56988	7.4
-122.677915	45.569882	3.2
-122.677835	45.569882	0.4
-122.677375	45.569887	7.6
-122.676778	45.569898	9.4
-122.676107	45.569913	10.6
-122.675402	45.569913	10.8
-122.674655	45.569913	11.6
-122.673897	45.569925	11.8
-122.67312	45.569915	12
-122.672348	45.569918	12
-122.671593	45.569918	11.6
-122.670838	45.569923	11.6
-122.670092	45.569927	11.6
-122.669388	45.569937	10.6
-122.668933	45.569903	6.6
-122.668845	45.569237	7.4
-122.668855	45.568858	8.4
-122.668858	45.568433	9.4
-122.66886	45.56804	8.6
-122.668857	45.56764	8.8
-122.668868	45.566903	8
-122.668905	45.56668	4.4
-122.668867	45.566125	2.6
-122.66886	45.565665	10.4
-122.66886	45.565167	11
-122.668848	45.564692	10
-122.668872	45.564373	6.6
-122.668883	45.56426	1.8
-122.668822	45.563788	2.32
-122.668812	45.563343	10
-122.668818	45.562933	8.6
-122.668833	45.562647	6
-122.668823	45.562537	1.8
-122.668685	45.562022	1.829
-122.668612	45.561597	9.4
-122.668537	45.561143	10.2
-122.668477	45.560707	9.4
-122.668428	45.56029	9.2
-122.668388	45.559857	9.6
-122.668355	45.559477	4.426
-122.668355	45.559233	4.6
-122.668277	45.558467	1.369
-122.66825	45.558095	8
-122.668255	45.557795	6.2
-122.668267	45.557658	2.4
-122.668153	45.556975	3.32
-122.668117	45.556538	9.6
-122.668083	45.5561	9.6
-122.668052	45.555658	9.8
-122.668028	45.555243	8.8
-122.668047	45.554922	6.6
-122.66805	45.554827	1.4
-122.668	45.554278	1.511
-122.66799	45.553848	9.6
-122.667987	45.553382	10.2
-122.667983	45.552922	10.2
-122.667985	45.552512	8.6
-122.668003	45.552262	4.8
-122.668027	45.552177	1.4
-122.66798	45.551443	2.633
-122.667973	45.55103	11
-122.667968	45.550603	9.2
-122.667965	45.550238	7.6
-122.667965	45.54998	5.4
-122.667968	45.549733	5.8
-122.667965	45.549368	8.2
-122.667963	45.548993	6.6
-122.66796	45.548742	5.8
-122.66796	45.548697	1
-122.667958	45.54859	2.2
-122.667963	45.5483	7.8
-122.668002	45.547958	7.4
-122.668023	45.547722	4.6
-122.66799	45.547182	1.886
-122.667998	45.546677	11.4
-122.668005	45.546143	11.8
-122.668008	45.545057	11.9
-122.66809	45.544562	10.8
-122.668205	45.54413	9.2
-122.668218	45.5439	4
-122.668172	45.543128	3.133
-122.66817	45.542612	11.4
-122.668172	45.542098	11.2
-122.668168	45.54167	8.6
-122.66816	45.541388	4.8
-122.668142	45.541248	3.2
-122.668137	45.541242	0.2
-122.66806	45.541057	3.8
-122.66793	45.540822	5.6
-122.667683	45.540227	1.971
-122.667703	45.539907	7
-122.667723	45.539757	3.4
-122.667705	45.539505	0.933
-122.667683	45.539078	9.4
-122.667683	45.538555	11.4
-122.667728	45.53746	12.1
-122.667747	45.536878	12.8
-122.667762	45.536297	12.8
-122.667775	45.535805	10.6
-122.667782	45.535437	8
-122.667788	45.535223	4.6
-122.667833	45.534948	6
-122.667838	45.53466	6.4
-122.667842	45.534543	2.6
-122.667848	45.534345	0.733
-122.667852	45.534052	6.4
-122.667675	45.53373	7.6
-122.667303	45.533402	9.2
-122.666885	45.533043	10.2
-122.66642	45.532675	10.8
-122.666027	45.53228	10.6
-122.66586	45.531807	10.8
-122.665878	45.531353	10
-122.66588	45.531047	6.6
-122.665883	45.530967	0.45
-122.66588	45.530838	2.8
-122.665883	45.530568	6
-122.66597	45.530337	5.2
-122.66615	45.530155	4.8
-122.666387	45.530042	4.4
-122.666722	45.529777	0.65
-122.666947	45.52956	6
-122.667028	45.529418	3.2
-122.667065	45.529293	3
-122.667182	45.528925	8.2
-122.667468	45.528522	10
-122.66793	45.528233	9.6
-122.668423	45.528008	9.2
-122.668888	45.527803	4.275
-122.669335	45.527607	8.2
-122.669767	45.527418	8
-122.670173	45.527217	7.6
-122.67059	45.527005	8
-122.67102	45.526852	7.4
-122.671555	45.526857	8.4
-122.672112	45.526873	8.6
-122.672598	45.526882	7.6
-122.673052	45.526877	7
-122.673532	45.52686	7.4
-122.67393	45.526802	6.2
-122.674232	45.526727	4.8
-122.67438	45.526702	2.4
-122.674418	45.526697	0.15
-122.674667	45.52666	4
-122.674965	45.52664	3.833
-122.675197	45.526637	3.6
-122.675278	45.526633	1.2
-122.675302	45.526632	0.019
-122.675422	45.526627	2
-122.675587	45.526553	2.5
-122.675615	45.526343	4.6
-122.67558	45.526038	6.8
-122.675537	45.525673	6.667
-122.675507	45.525435	5.2
-122.675493	45.525333	2.2
-122.67547	45.525108	5.2
-122.675438	45.524845	5.8
-122.675438	45.524623	6
-122.675442	45.524243	7
-122.675432	45.523995	5.4
-122.675432	45.523947	1
-122.675432	45.523947	0
-122.675432	45.523947	0
-122.675448	45.523915	1.333
-122.67548	45.523678	5.2
-122.675472	45.523412	6
-122.675468	45.523288	2.4
-122.675465	45.523222	0.16
-122.675477	45.522918	5.667
-122.675617	45.522622	7
-122.675765	45.522367	6
-122.675808	45.522292	1.75
-122.675952	45.521855	1
-122.67602	45.521733	2.8
-122.67612	45.521552	4.4
-122.67625	45.521318	7
-122.676428	45.520993	6.333
-122.676598	45.520695	7.2
-122.676772	45.52039	7.2
-122.676975	45.520082	7.4
-122.677153	45.519815	6.6
-122.677238	45.519675	3
-122.67754	45.519053	1.028
-122.677715	45.518723	9.75
-122.677862	45.518448	6.4
-122.677932	45.518315	2.8
-122.677952	45.51828	1
-122.678067	45.518062	4.5
-122.678222	45.517782	8.25
-122.678407	45.517455	7.8
-122.678608	45.51711	8.2
-122.678818	45.516787	7.8
-122.679017	45.51649	7
-122.679103	45.516357	3
-122.679482	45.515577	4.65
-122.679647	45.515262	7.2
-122.67972	45.51513	2.8
-122.67972	45.515128	0
-122.67972	45.515128	0
-122.67972	45.515128	1
-122.679772	45.515022	3.25
-122.679912	45.514735	6.8
-122.680077	45.514442	7
-122.680268	45.514113	8
-122.680473	45.513817	7
-122.680543	45.513687	2.6
-122.680768	45.513122	1.117
-122.680882	45.512872	5.8
-122.68101	45.512575	6.8
-122.681152	45.512247	7.6
-122.681317	45.511908	7.8
-122.681505	45.511565	6.833
-122.681703	45.511267	7
-122.68179	45.51111	4.25
-122.682058	45.510485	1.071
-122.682282	45.510093	9.4
-122.682518	45.50966	10.2
-122.682705	45.5093	4.085
-122.682858	45.509028	7.75
-122.682912	45.508925	2
-122.682917	45.508908	0.3
-122.68302	45.508695	4.5
-122.683278	45.508312	9.6
-122.683577	45.50782	14.75
-122.683752	45.507378	8.167
-122.68374	45.506985	10.75
-122.683607	45.50657	7.833
-122.683245	45.506198	12.25
-122.683157	45.506017	3.8
-122.683155	45.506012	0
-122.683155	45.506012	0
-122.683155	45.506012	0
-122.683168	45.506002	2
-122.683172	45.505762	5.6
-122.683187	45.505455	6.6
-122.683197	45.505308	2.8
-122.683195	45.505263	1.2
-122.68304	45.505118	4.4
-122.682618	45.505108	6.8
-122.68217	45.505023	7.4
-122.682035	45.504688	7.8
-122.68205	45.504222	10.4
-122.682072	45.503698	11.6
-122.682092	45.503165	11.6
-122.682057	45.502763	8.6
-122.682005	45.502545	4.4
-122.681833	45.502322	1.2
-122.681608	45.50193	9.8
-122.681343	45.501423	11.8
-122.681073	45.500908	12.2
-122.680717	45.500312	14.4
-122.680358	45.499677	15
-122.680008	45.499045	15
-122.67965	45.4984	15.2
-122.679288	45.497738	15.6
-122.67893	45.497088	15.4
-122.678558	45.496427	15.8
-122.678137	45.495785	15.6
-122.677597	45.495153	16.4
-122.677202	45.494435	17
-122.677012	45.493665	17.4
-122.676887	45.492903	16.6
-122.677067	45.492242	14.8
-122.677502	45.491718	13
-122.677848	45.491427	7.8
-122.678025	45.491302	3.8
-122.6783	45.491122	5.8
-122.678503	45.49102	3.6
-122.67911	45.490757	2.95
-122.679808	45.490587	11.8
-122.680647	45.490403	13.8
-122.681553	45.49009	15.8
-122.682323	45.489588	16.2
-122.682833	45.488918	16.8
-122.68293	45.488178	16.4
-122.682863	45.487505	14.6
-122.682697	45.486898	13.8
-122.68242	45.486188	16.4
-122.682122	45.485393	18.2
-122.68156	45.484643	18.8
-122.680935	45.483903	19
-122.680635	45.483072	19
-122.680473	45.482207	19.2
-122.680312	45.481375	18.2
-122.680205	45.48073	13.6
-122.680358	45.480348	8
-122.680905	45.480197	7.2
-122.681458	45.480113	9
-122.682065	45.480035	9.4
-122.682723	45.479952	10.6
-122.683457	45.479915	11.4
-122.684245	45.480035	12.8
-122.685047	45.480242	13.2
-122.685885	45.480352	13.4
-122.68668	45.480297	11.8
-122.687147	45.480267	7
-122.687338	45.480272	2.4
-122.688162	45.480297	0.538
-122.68883	45.480353	10.8
-122.689637	45.480252	13
-122.690467	45.479963	14.4
-122.691267	45.47967	14
-122.692045	45.47938	13.4
-122.69271	45.479137	11.2
-122.69312	45.47896	6.6
-122.693223	45.478907	1.4
-122.694172	45.478607	4.778
-122.694948	45.478448	12.4
-122.695717	45.478308	12.2
-122.696352	45.478198	9.6
-122.696768	45.47813	6.2
-122.696933	45.478102	2
-122.696938	45.478103	0
-122.69719	45.478055	5.2
-122.697787	45.477933	10
-122.698423	45.477835	9.8
-122.69901	45.47776	9.2
-122.699502	45.477698	7.2
-122.699683	45.477678	2
-122.700422	45.477553	3.3
-122.70103	45.47733	11.2
-122.701555	45.476892	10
-122.702732	45.476117	13.9
-122.703463	45.47609	11
-122.704005	45.476103	6.6
-122.704502	45.476105	9.4
-122.705087	45.47611	9.4
-122.705712	45.476105	9.6
-122.70628	45.476095	7
-122.706538	45.476093	4.4
-122.706665	45.476087	0.6
-122.70712	45.475952	7.4
-122.707558	45.47566	9.2
-122.707778	45.47522	10.2
-122.707772	45.474675	12
-122.707755	45.474085	13.2
-122.707762	45.473508	12.8
-122.707758	45.472945	12.4
-122.707742	45.472402	11.8
-122.707732	45.471862	12
-122.707728	45.471452	10.6
-122.70774	45.471112	6
-122.707737	45.470775	7.4
-122.707737	45.47044	7.4
-122.707762	45.470123	7
-122.707892	45.469823	6.8
-122.70817	45.469543	7.4
-122.708532	45.469292	7.8
-122.708882	45.469045	7.8
-122.709242	45.468843	7
-122.709653	45.4687	7.2
-122.710098	45.46863	7
-122.710437	45.468612	5.4
-122.710818	45.468577	0.6
-122.711147	45.468547	5.2
-122.7115	45.468503	5.6
-122.71187	45.468432	5.8
-122.712233	45.468333	6
-122.712505	45.468255	4.6
-122.712655	45.468232	2.4
-122.712657	45.46823	0
-122.712657	45.46823	0
-122.71267	45.468227	0.5
-122.712928	45.468242	4
-122.713273	45.468263	5.2
-122.71344	45.468283	2.8
-122.713842	45.468275	1.24
-122.713975	45.46828	2.2
-122.714067	45.468275	1.4
-122.714197	45.468198	2.4
-122.714213	45.468017	3.6
-122.714205	45.467917	2.2
-122.714202	45.46785	1.2
-122.714307	45.467732	3.2
-122.714672	45.467667	5.8
-122.715188	45.467533	8.6
-122.715672	45.467303	9
-122.716052	45.467043	8.2
-122.716303	45.466895	5.2
-122.71652	45.466942	3.2
-122.716807	45.467077	5.4
-122.717683	45.46696	7
-122.717802	45.466937	1.8
-122.718098	45.466838	5
-122.718562	45.466628	8.6
-122.719098	45.466465	9.2
-122.719695	45.466365	9.4
-122.720298	45.466327	9.4
-122.720905	45.466353	9.4
-122.721472	45.466317	8.8
-122.72201	45.466053	10
-122.722522	45.465805	9.6
-122.72286	45.465643	6.4
-122.722963	45.46559	2
-122.722963	45.46559	1
-122.723068	45.465543	4.646
-122.723207	45.465387	4
-122.723202	45.465095	6.4
-122.72318	45.464673	9.2
-122.723177	45.464307	8.2
-122.723182	45.464062	1.04
-122.723172	45.463683	8.4
-122.72316	45.463198	10.6
-122.723178	45.462735	10.2
-122.723468	45.46234	10
-122.72395	45.46198	11
-122.724282	45.46146	12.4
-122.724678	45.460898	13.8
-122.72532	45.460472	13.8
-122.725932	45.460067	13
-122.726322	45.459572	12.4
-122.726635	45.459048	12.6
-122.726878	45.458503	12.6
-122.726963	45.457937	12.6
-122.72688	45.457373	12.6
-122.726665	45.456827	12.4
-122.726437	45.456312	12
-122.726358	45.455805	11.2
