longitude	latitude	speed
-122.684212	45.59588	4.692
-122.684288	45.596225	7.4
-122.684322	45.596422	4.2
-122.684342	45.596582	3.6
-122.684355	45.59674	3.4
-122.684368	45.596958	5
-122.684375	45.597175	4.6
-122.684372	45.597375	4.4
-122.684357	45.597587	4.6
-122.684333	45.59782	5.2
-122.684303	45.598035	4.8
-122.684267	45.598233	4.4
-122.684228	45.598423	4.2
-122.684185	45.598605	4
-122.684142	45.59878	3.8
-122.684098	45.598957	4
-122.684045	45.599162	4.6
-122.683965	45.599437	6.2
-122.683905	45.599643	4.4
-122.683867	45.599785	3.2
-122.683833	45.599908	2.8
-122.683808	45.599998	1.8
-122.683795	45.600043	1
-122.683767	45.600142	2.4
-122.683733	45.600262	2.6
-122.683703	45.600365	2.2
-122.683675	45.600458	2.2
-122.683652	45.600537	1.6
-122.683632	45.60061	1.8
-122.683603	45.600708	2.2
-122.68356	45.600857	3.4
-122.683487	45.601077	5
-122.683425	45.60128	4.6
-122.683347	45.60155	6
-122.683265	45.601838	6.6
-122.683185	45.60211	6
-122.683108	45.602378	6
-122.683025	45.602662	6.2
-122.682973	45.602833	3.8
-122.682902	45.603082	5.8
-122.682827	45.603345	5.8
-122.682752	45.603605	5.8
-122.682653	45.603937	6.167
-122.682602	45.604115	3.8
-122.682568	45.604237	2.6
-122.68252	45.604413	4.2
-122.682452	45.604637	4.167
-122.682398	45.604808	3.8
-122.682337	45.605015	4.8
-122.682268	45.605242	6.25
-122.682183	45.605488	5.8
-122.68207	45.605765	6.4
-122.681862	45.606163	9.4
-122.681675	45.606608	10.6
-122.681398	45.60718	13.4
-122.681047	45.607812	15.2
-122.680637	45.60851	16.6
-122.68021	45.609217	17
-122.679765	45.609948	17.6
-122.679227	45.610593	16.2
-122.678392	45.610912	14.8
-122.677655	45.611092	11.8
-122.677312	45.611557	11.8
-122.677313	45.61219	14.4
-122.678643	45.613093	11.462
-122.679298	45.613285	10.4
-122.679503	45.613318	2.6
-122.679815	45.613327	1.867
-122.68019	45.613005	9.8
-122.680417	45.612595	9.8
-122.680607	45.612248	7.8
-122.680713	45.61207	3.6
-122.680733	45.61204	0.2
-122.68088	45.611797	6.6
-122.681022	45.611492	6.6
-122.681048	45.611298	4.2
-122.681108	45.611098	4.6
-122.681232	45.610975	2.8
-122.844215	45.503317	-82.47
-122.844287	45.503345	1.2
-122.844377	45.503462	2.6
-122.844305	45.503632	4
-122.844178	45.50381	4.4
-122.844053	45.503965	3.8
-122.843947	45.504127	4
-122.843883	45.50426	3
-122.843665	45.504677	0.533
-122.84362	45.50478	2.4
-122.843568	45.504903	2.8
-122.843535	45.504997	2.2
-122.843512	45.50506	1.4
-122.843482	45.50514	1.8
-122.84347	45.505173	0.6
-122.843307	45.505312	4.2
-122.842847	45.505413	7.6
-122.842317	45.505578	9
-122.841788	45.505877	10.4
-122.841312	45.506255	11.2
-122.840983	45.506675	10.6
-122.84081	45.507058	8.6
-122.840733	45.507248	4.2
-122.84065	45.50743	0.367
-122.840483	45.507845	9.8
-122.84032	45.508392	12.4
-122.84022	45.508898	11
-122.840148	45.509285	8.4
-122.840085	45.509532	5.4
-122.840065	45.509603	1.2
-122.840022	45.50977	1.1
-122.839922	45.510203	9.8
-122.839773	45.510788	13.4
-122.839623	45.51142	14
-122.839485	45.511988	12.6
-122.839372	45.512622	14.4
-122.839383	45.513368	16.4
-122.839418	45.51411	16.2
-122.839445	45.514793	15
-122.839473	45.515405	13.2
-122.839495	45.515818	8.8
-122.839507	45.516003	3.6
-122.839518	45.516122	2.8
-122.83954	45.516467	8.2
-122.83956	45.517015	12.4
-122.83955	45.517687	14.8
-122.839542	45.518362	-18.74
-122.839532	45.518967	13
-122.839528	45.519365	8.4
-122.839527	45.519537	3.4
-122.839525	45.519587	0.8
-122.839527	45.51964	0.257
-122.839518	45.52	8.4
-122.839512	45.520557	12.8
-122.839505	45.52123	14.8
-122.839498	45.521925	15.4
-122.83949	45.522622	15.4
-122.785103	45.510665	20.6
-122.783892	45.510225	21.2
-122.782612	45.509758	22.4
-122.781262	45.509262	23.6
-122.779848	45.508752	24.6
-122.778357	45.508258	25.6
-122.7768	45.507792	26.4
-122.775198	45.507365	26.6
-122.773687	45.507007	24.8
-122.772303	45.506723	22.4
-122.839483	45.523353	16
-122.839483	45.5241	16.6
-122.839498	45.524837	16.2
-122.839512	45.52549	14
-122.839528	45.526102	13.6
-122.83954	45.526797	15.4
-122.839538	45.527365	12
-122.839538	45.52776	8.8
-122.839568	45.528277	11.6
-122.839667	45.52884	12.4
-122.839835	45.529272	9.4
-122.839932	45.529543	5.8
-122.839757	45.52972	5
-122.839392	45.529872	6.4
-122.839192	45.52996	3.2
-122.839162	45.529972	0.4
-122.839025	45.530037	3
-122.838842	45.530127	3.4
-122.838732	45.530183	1.8
-122.838732	45.530183	0
-122.838732	45.530183	0
-122.838692	45.530202	3
-122.838245	45.530195	7.6
-122.837497	45.53002	13
-122.8365	45.529758	17
-122.835372	45.529418	19
-122.834197	45.529027	20.4
-122.832962	45.528597	21.6
-122.83175	45.528158	20.6
-122.830778	45.527793	16.6
-122.829928	45.527475	14.8
-122.82909	45.527163	14.8
-122.828187	45.526817	16.2
-122.82719	45.526437	17.8
-122.826092	45.52602	19.6
-122.824898	45.525565	21.2
-122.823617	45.525082	22.6
-122.822313	45.524585	23
-122.820988	45.524083	23.4
-122.819632	45.523572	24
-122.81829	45.523065	23.4
-122.817	45.522578	22.6
-122.815777	45.522115	21.2
-122.814607	45.521675	20.6
-122.813397	45.52122	21.4
-122.812193	45.520763	21
-122.811088	45.520348	19.2
-122.809987	45.519932	19.6
-122.808855	45.519505	19.8
-122.77092	45.506465	9.936
-122.769467	45.506233	23.2
-122.767962	45.506027	23.8
-122.766418	45.505852	24.4
-122.764862	45.505722	24.4
-122.763312	45.505623	24
-122.761768	45.505567	24.2
-122.760277	45.505547	23
-122.758873	45.505555	22
-122.757583	45.505592	20
-122.756575	45.50564	15.8
-122.755675	45.505707	14
-122.754682	45.505807	15.6
-122.75359	45.505913	17
-122.752412	45.506052	18.6
-122.751165	45.506222	19.8
-122.749918	45.506413	19.8
-122.748663	45.506635	20
-122.747407	45.506883	20.2
-122.746193	45.507152	19.8
-122.745023	45.507428	19.2
-122.744075	45.507675	15.6
-122.743302	45.507887	13
-122.742518	45.508098	13
-122.741635	45.508325	14.6
-122.740758	45.508515	14.2
-122.739963	45.508633	12.6
-122.73926	45.508692	11
-122.738632	45.50871	9.8
-122.738155	45.508712	7.4
-122.737607	45.508702	8.4
-122.736927	45.508683	10.6
-122.736152	45.508663	12
-122.735332	45.508645	12.8
-122.73453	45.508627	12.4
-122.733738	45.508617	12.4
-122.7329	45.50863	13
-122.732125	45.508678	12
-122.731397	45.508773	11.4
-122.730628	45.508918	12.4
-122.729963	45.509057	10.6
-122.729527	45.509153	7
-122.729107	45.509245	6.8
-122.728737	45.509322	5.8
-122.728328	45.509393	6.6
-122.727882	45.50945	7
-122.727525	45.509478	5.4
-122.727218	45.509493	4.8
-122.72685	45.509497	5.6
-122.726478	45.509473	5.8
-122.726053	45.509427	6.6
-122.725535	45.509332	8.4
-122.724987	45.509183	9.2
-122.724458	45.509002	9
-122.723898	45.508763	10.2
-122.723335	45.508512	10.4
-122.722785	45.508273	10.2
-122.722282	45.508063	9
-122.721822	45.50789	8
-122.721338	45.507735	8.2
-122.72084	45.507598	8.2
-122.720458	45.507498	6.2
-122.720108	45.50741	5.8
-122.719708	45.507312	6.6
-122.719278	45.50721	7
-122.7188	45.507098	8
-122.71825	45.506968	9
-122.717707	45.506837	8.8
-122.7172	45.506717	8.2
-122.716752	45.506622	7.2
-122.716287	45.506558	7.4
-122.715735	45.506512	8.6
-122.715192	45.50649	8.4
-122.714623	45.506513	8.8
-122.714063	45.50657	8.8
-122.713532	45.50664	8.2
-122.713107	45.506702	6.6
-122.712685	45.50676	6.8
-122.712202	45.506827	7.6
-122.711687	45.5069	8.2
-122.711215	45.506972	7.4
-122.710725	45.50707	8
-122.710217	45.507217	6.833
-122.710102	45.507263	1.6
-122.709897	45.507355	1.053
-122.709565	45.507533	6.6
-122.709228	45.507777	7.4
-122.708882	45.508107	9.2
-122.708532	45.508538	10.8
-122.807735	45.51908	19.8
-122.80659	45.518647	20.2
-122.805452	45.518215	19.8
-122.804398	45.517817	18.4
-122.803285	45.517398	19.8
-122.802112	45.516952	21
-122.800935	45.516508	16.4
-122.799817	45.516083	23.8
-122.798727	45.515667	15.2
-122.797663	45.515263	19
-122.796643	45.514878	17.8
-122.79558	45.514483	18.8
-122.794477	45.514075	19.4
-122.793333	45.513652	20
-122.792148	45.513222	20.8
-122.790977	45.512798	20.4
-122.789847	45.512387	19.8
-122.7887	45.511972	20
-122.78751	45.511537	20.8
-122.786287	45.511093	21.6
-122.699637	45.515533	8.2
-122.699202	45.51572	8
-122.698727	45.515858	7.8
-122.698308	45.515927	6.6
-122.697817	45.515953	8
-122.697192	45.515918	9.8
-122.69656	45.51584	9.8
-122.69604	45.515768	8.2
-122.695598	45.51571	6.8
-122.695162	45.515628	6.8
-122.694705	45.51554	7.4
-122.694222	45.51546	7.6
-122.69373	45.51538	7.6
-122.693137	45.515282	9.4
-122.692535	45.515183	9.4
-122.691923	45.515082	9.8
-122.691287	45.514973	10.2
-122.690597	45.514887	10.8
-122.689852	45.514912	11.8
-122.708302	45.508868	9.857
-122.708075	45.509197	8
-122.707808	45.509587	9.8
-122.707453	45.510073	12.2
-122.707018	45.510535	12
-122.70663	45.510853	9
-122.706293	45.511085	7.2
-122.706035	45.511238	5
-122.705733	45.511398	6
-122.70538	45.511565	6.6
-122.704978	45.511742	7.4
-122.704512	45.51194	8.4
-122.704097	45.512118	7.4
-122.703728	45.51228	6.6
-122.703393	45.512432	6.2
-122.703058	45.512595	6.4
-122.702642	45.51283	8.4
-122.702228	45.513107	8.6
-122.701952	45.513335	6.4
-122.70173	45.513542	5.6
-122.701527	45.513748	5.6
-122.701327	45.513963	5.6
-122.70109	45.51423	7
-122.700825	45.514523	7.8
-122.700503	45.514877	9.4
-122.70005	45.515275	11.2
-122.68901	45.515147	14.4
