longitude	latitude	speed
-122.540403	45.489652	12.6
-122.539575	45.489637	12.6
-122.538887	45.489627	10.2
-122.538403	45.48962	7
-122.53816	45.489615	3.4
-122.538127	45.489613	0.022
-122.537928	45.48961	3.8
-122.537328	45.489605	9.8
-122.535638	45.489623	13.2
-122.53476	45.489627	13.4
-122.533865	45.489627	14
-122.532958	45.48963	14
-122.532098	45.489638	13.2
-122.531223	45.48964	13.6
-122.530367	45.489645	13.2
-122.529502	45.489648	13.4
-122.52862	45.489652	13.6
-122.527783	45.489653	12.8
-122.527125	45.489627	9.6
-122.526807	45.489627	4.4
(237 rows)
